Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,-9999
70,Ja'Whaun Bentley,NWE,26,LB,17,17,1,47,37,78.7%,321,8.7,6.8,0,86.3,2.6,65,256,51,6,2,3.0,11,125,10,7.4%,BentJa00
71,Malcolm Rodriguez,DET,23,LB,16,15,0,44,30,68.2%,321,10.7,7.3,1,96.9,4.7,152,169,24,3,1,1.0,5,87,5,5.4%,RodrMa00
72,Chuck Clark,BAL,27,S,17,17,0,43,32,74.4%,270,8.4,6.3,1,98.0,5.5,123,147,14,1,0,0.0,1,101,4,3.8%,ClarCh00
73,C.J. Gardner-Johnson,PHI,25,S,12,12,6,52,38,73.1%,446,11.7,8.6,3,78.4,11.0,323,123,10,1,1,1.0,3,67,11,14.1%,GardCh00
74,Myles Jack,PIT,27,LB,15,13,0,55,42,76.4%,390,9.3,7.1,2,107.4,4.4,171,219,21,0,1,0.0,1,104,7,6.3%,JackMy00
75,Eddie Jackson,CHI,29,DB,12,12,4,34,21,61.8%,348,16.6,10.2,1,66.4,12.5,250,98,5,0,0,0.0,0,80,9,10.1%,JackEd01
76,Desmond King,HOU,28,DB,17,13,2,56,40,71.4%,365,9.1,6.5,2,85.8,6.9,204,161,8,1,1,0.0,2,89,7,7.3%,KingDe01
77,Devin Lloyd,JAX,24,LB,17,15,3,79,61,77.2%,648,10.6,8.2,4,101.7,5.0,236,412,38,1,2,0.0,3,115,14,10.9%,LloyDe00
78,Rodney McLeod,IND,32,S,17,15,2,68,46,67.6%,455,9.9,6.7,5,98.6,7.3,223,232,10,1,0,0.0,1,96,6,5.9%,McLeRo00
79,Jeff Okudah,DET,23,CB,15,15,1,77,46,59.7%,681,14.8,8.8,1,87.6,10.9,411,270,2,0,0,0.0,0,73,6,7.6%,OkudJe00
80,Justin Reid,KAN,25,S,17,17,0,58,37,63.8%,388,10.5,6.7,4,106.1,7.2,243,145,34,1,3,1.0,5,83,8,8.8%,ReidJu00
81,Charvarius Ward,SFO,26,CB,17,17,1,95,54,56.8%,612,11.3,6.4,3,82.4,9.7,410,202,3,0,0,0.0,0,87,0,0.0%,WardCh01
